category;headline;authors;short_description
SPORTS;Kyrie Irving Returns To Play For Nets After Suspension, Talks About Controversy;Kimberley Richards;The star guard had missed eight games since he was suspended on Nov. 3.
SPORTS;Ronaldo To Leave Manchester United After Controversial Interview;James Robson, AP;The 37-year-old forward criticized manager Erik ten Hag and the club’s owners in an interview with Piers Morgan.
SPORTS;Watch What Happens When 9 Puppies Race At Halftime Of Indiana Pacers Game;Ron Dicker;Halftime entertainment just went to the dogs.
SPORTS;World Cup Shocker For Lionel Messi And Argentina;Steve Douglas, AP;The third day of the soccer tournament got off to a shocking start.
SPORTS;U.S.-Wales World Cup Match Ends In 1-1 Draw;RONALD BLUM, AP;It was a return to the World Cup for both nations.
SPORTS;Shaquille O’Neal Reveals A Big Regret About His Famous Feud With Kobe Bryant;Marco Margaritoff;"“I’ll never get to see Kobe again, in real life, forever,"" O'Neal said. ""And I just should have called. He should have called. We both should have called."""
SPORTS;BBC Reporter And Ex-Player Alex Scott Trolls Qatar World Cup Ban On The Field;Ron Dicker;The British broadcaster did what the players could not in gay-rights protest.
SPORTS;Iranian Soccer Team Refuses To Sing National Anthem At World Cup;Elyse Wanshel;Many believe the act was done in solidarity with the ongoing protests in the country for women’s rights.
SPORTS;Video Shows Rose Bowl Security Guard's Epic Takedown Of Fan Running On Field;Ben Blanchet;Twitter users made sports-like commentary on the tackle that followed Saturday's game between USC and UCLA.
SPORTS;European World Cup Players Won't Wear 'One Love' Armbands After FIFA Threat;Graham Dunbar, AP;Qatar has faced years of criticism regarding its treatment of low-paid migrant workers as well as its criminalization of gay and lesbian sex.
SPORTS;Qatar Suffers Ignominious Defeat In World Cup Opener, Breaking 92-Year Record;Mary Papenfuss;It's the first time in World Cup history that a host nation's team lost its opening game.
SPORTS;College Football Analyst's Wife Joke Doesn't Get Giggles From His Colleague;Ben Blanchet;The on-air quip occurred on the SEC Network’s halftime report during the Florida vs. Vanderbilt football game Saturday.
